Year,Region,Temperature (°C),Rainfall (mm),CO2 Levels (ppm),Crop Type,Yield (tons per hectare),Anomaly (%)
2009,North America,14.45,1095.78,403.66,Barley,7.27,12.28
2010,Europe,21.25,479.66,376.12,Sorghum,9.72,-15.21
2022,Australia,21.06,711.43,403.16,Sorghum,7.43,-6.41
2005,Africa,18.39,1257.23,371.34,Rice,2.93,-4.67
2010,North America,14.49,592.02,449.02,Wheat,8.37,5.88
2008,Africa,30.73,426.41,429.55,Barley,8.85,4.36
2019,South America,25.74,750.41,358.74,Sorghum,8.86,0.24
2011,North America,32.85,740.16,368.29,Corn,8.31,-4.12
2002,Asia,16.95,808.52,389.51,Barley,3.28,19.7
2001,South America,27.53,1270.73,425.57,Barley,1.51,-13.16
2001,Africa,17.5,1053.72,404.92,Rice,3.62,-10.89
2005,Africa,26.56,853.33,384.74,Wheat,9.15,-13.98
2014,North America,29.57,1299.17,411.18,Wheat,7.28,-14.73
2015,Europe,21.27,1281.69,425.67,Sorghum,7.31,-6.8
2018,Asia,12.48,601.34,439.51,Soybeans,4.47,-1.24
2010,Africa,14.28,1207.87,381.37,Barley,9.57,7.11
2022,South America,19.2,1190.19,432.08,Wheat,4.12,11.8
2007,Asia,17.53,548.94,350.91,Corn,6.17,-0.24
2005,Australia,15.75,904.81,421.44,Sorghum,7.39,-12.76
2021,Europe,18.59,1203.04,430.92,Soybeans,2.15,-1.66
2021,Africa,19.04,858.95,395.68,Soybeans,9.15,19.92
2014,Asia,14.99,834.31,371.63,Rice,1.95,16.72
2003,Australia,14.19,1330.3,440.61,Sorghum,2.71,9.86
2022,North America,29.97,652.84,392.57,Corn,3.17,-16.05
2016,South America,26.65,647.71,411.72,Corn,1.89,0.46
2020,Africa,25.77,1066.84,351.01,Wheat,9.68,9.37
2010,South America,33.89,704.39,365.03,Barley,9.22,3.1
2022,Europe,12.4,1270.95,371.04,Soybeans,7.88,-10.33
2022,North America,26.93,1397.49,425.07,Wheat,8.09,10.56
2012,Africa,18.52,436.16,385.56,Wheat,3.03,8.14
2003,Europe,28.62,969.03,356.34,Soybeans,6.24,17.88
2013,Asia,13.86,1005.22,396.36,Sorghum,9.7,7.21
2000,Africa,18.8,1389.07,415.44,Barley,5.79,-6.69
2019,Europe,24.96,1279.82,384.01,Barley,2.89,-7.63
2019,South America,16.42,315.53,356.85,Rice,4.67,-7.89
2009,South America,15.33,512.88,401.73,Wheat,9.24,-0.03
2017,Asia,12.66,1332.27,444.82,Sorghum,3.31,15.12
2010,Europe,24.19,309.04,431.8,Soybeans,8.98,14.35
2009,Africa,29.16,852.95,400.97,Soybeans,5.22,11.44
2010,South America,27.18,1421.15,381.23,Corn,2.71,11.53
2019,North America,33.85,700.64,375.67,Soybeans,2.86,1.18
2009,North America,13.33,443.57,364.27,Barley,6.6,-7.26
2021,Africa,30.26,624.2,411.78,Corn,5.59,9.68
2007,Africa,19.47,746.3,437.58,Barley,4.64,-7.12
2001,Europe,33.84,521.98,356.66,Soybeans,8.93,16.06
2019,South America,14.81,738.24,386.58,Rice,5.02,14.62
2011,Asia,24.63,1092.42,390.41,Soybeans,1.58,20.0
2001,Asia,31.45,601.28,359.0,Rice,1.74,-17.19
2018,North America,25.17,792.56,434.42,Corn,9.94,-16.45
2022,Australia,18.06,895.83,412.12,Corn,9.83,-19.9
2008,Australia,26.26,1458.37,421.85,Barley,6.53,2.49
2000,Asia,28.17,808.38,411.36,Barley,3.89,-17.33
2001,Australia,34.76,1036.3,442.06,Sorghum,9.53,-19.08
2001,Africa,27.31,407.37,445.62,Wheat,8.23,13.48
2004,Europe,12.63,1071.63,384.99,Wheat,2.2,10.71
2014,Asia,14.59,1004.71,352.51,Barley,7.14,-18.57
2014,Africa,34.08,1180.88,419.09,Corn,3.9,8.51
